Code,Official Name,Simple Name,Category,Tier,Billing Unit,Setup Fee,Recurring Target (CAD),Annual (x12),Month-to-Month (+20%),Bundle Role,Confidence,Notes
C01-S01,Cyber Risk Assessment,Risk Check,Cyber Risk & Governance,T1,One-time flat,-,"$4,500",N/A - project/one-time,N/A,Essential / À la carte,Market-verified,"Entry funnel price, deliberately low-margin. Canadian range $5K-$25K."
C01-S02,Cyber Compliance Readiness,Compliance Ready,Cyber Risk & Governance,T1,One-time + flat/mo,"$5,000",$500/mo,"$6,000",$600.00/mo,Growth / Enterprise,Market-verified,Initial gap analysis one-time; $500/mo ongoing maintenance.
C01-S03,Security Governance & Policies,Policy Guard,Cyber Risk & Governance,T1,Flat/mo,-,$800/mo,"$9,600",$960.00/mo,Essential / Growth,Estimated,Narrower than full vCISO scope.
C01-S04,Virtual CISO,Cybersecurity Director,Cyber Risk & Governance,T1,"Flat/mo, tiered by size",-,"$2,500-$4,500/mo","$42,000","$4,200.00/mo",Growth / Enterprise,Market-verified,"Canadian vCISO $2,500-$4,500/mo (15-150 emp). Highest-margin service."
C02-S01,Vulnerability Assessment & Management,Vuln Watch,Vulnerability & Exposure Mgmt,T1,Per-user/mo,-,$15/user/mo,$180/user/yr,$18.00/user/mo,Essential / Growth / Enterprise,Market-verified,Vuln mgmt bundled $45-73/endpoint when bundled broader; standalone lower.
C02-S02,Third-Party & Vendor Risk Management,Vendor Watch,Vulnerability & Exposure Mgmt,T1,"Flat/mo, tiered by vendor count",-,$400/mo (up to 25 vendors),"$4,800",$480.00/mo,Growth / Enterprise,Estimated,No direct market comp; derived from assessment-driven pricing logic.
C03-S01,Security Monitoring / AI-SOC,AI Security Monitoring,Threat Detection & Response,T1,Per-user/mo,-,$20/user/mo,$240/user/yr,$24.00/user/mo,Growth / Enterprise,Market-verified,SIEM/monitoring layer; MDR benchmarks $10-30/endpoint.
C03-S02,Managed Detection & Response (MDR),Managed Threat Response,Threat Detection & Response,T1,Per-user/mo,-,$25/user/mo,$300/user/yr,$30.00/user/mo,Enterprise,Market-verified,"REVISED vs GPT draft: their $10,000/mo flat contradicted their own cited anchor ($3-45/endpoint). Kept per-user, composable into a real bundle."
C03-S03,Threat Intelligence,Threat Watch,Threat Detection & Response,T1,Per-user/mo,-,$8/user/mo,$96/user/yr,$9.60/user/mo,Growth / Enterprise,Estimated,Add-on intelligence layer below core MDR.
C03-S04,Incident Response & Automated Response,Security Response,Threat Detection & Response,T1,Flat/mo retainer + hourly overage,-,$600/mo + $250/hr overage,"$7,200",$720.00/mo,Enterprise / À la carte,Estimated,IR retainer model; overage rate benchmarked to consulting rates.
C04-S01,Endpoint Security (Device Guard),Device Guard,"Endpoint, Email & Human Security",T1,Per-user/mo,-,$12/user/mo,$144/user/yr,$14.40/user/mo,Essential / Growth,Market-verified,Standalone EDR CAD $4-9/endpoint; marked up for managed service.
C04-S02,Email Security (Mail Shield),Mail Shield,"Endpoint, Email & Human Security",T1,Per-user/mo,-,$6/user/mo,$72/user/yr,$7.20/user/mo,Essential / Growth,Estimated,"Positioned below endpoint pricing, smaller protection surface."
C04-S03,Security Awareness & Human Risk,Staff Security,"Endpoint, Email & Human Security",T1,Per-user/YEAR,-,$40/user/yr,$40/user/yr,n/a - annual metric,Essential / Growth,Market-verified,Verified range $25-60/user/yr. (GPT's $75 draft exceeded its own cited ceiling.)
C05-S01,Identity & Access Management,Access Manager,Identity & Access Security,T1,Per-user/mo,-,$8/user/mo,$96/user/yr,$9.60/user/mo,Growth / Enterprise,Estimated,IAM baseline layer.
C05-S02,Multi-Factor Authentication,Login Shield,Identity & Access Security,T1,Per-user/mo,-,$4/user/mo,$48/user/yr,$4.80/user/mo,Essential / Growth,Estimated,"High-volume, low-cost-to-deliver; priced accordingly."
C05-S03,Privileged Access Management,Admin Shield,Identity & Access Security,T1,Per priv-user/mo,"$1,500",$30/priv-user/mo (min $400/mo),$360,$36.00/mo,Enterprise,Revised,Real PAM vaulting/session-recording infra justifies a setup fee and a higher per-privileged-user rate than base IAM.
C05-S04,Identity Governance & Administration,Access Governance,Identity & Access Security,T1,Per-user/mo,-,$6/user/mo,$72/user/yr,$7.20/user/mo,Growth / Enterprise,Estimated,Access review/certification layer.
C05-S05,Zero Trust Access Security,Trust Guard,Identity & Access Security,T1,Setup + per-user/mo,"$3,000",$10/user/mo,$120/user/yr,$12.00/user/mo,Enterprise,Revised,"Genuine architecture overhaul — setup fee added (adopted from GPT draft's pattern), kept recurring per-user rather than flat org fee."
C06-S01,Cloud Security Posture Management,Cloud Guard,Cloud & Infrastructure Security,T1,Per-environment/mo,-,$400/mo per cloud env,"$4,800",$480.00/mo,Growth / Enterprise,Estimated,"Environment-based, not per-user."
C06-S02,Cloud Workload Protection,Workload Shield,Cloud & Infrastructure Security,T1,Per-environment/mo,-,$500/mo,"$6,000",$600.00/mo,Growth / Enterprise,Estimated,Scales with workload count in practice.
C06-S03,Infrastructure Security,Infra Guard,Cloud & Infrastructure Security,T1,Per-environment/mo,-,$450/mo,"$5,400",$540.00/mo,Growth / Enterprise,Estimated,On-prem/hybrid infrastructure layer.
C06-S04,Cloud Network Security,Network Shield,Cloud & Infrastructure Security,T1,Setup + per-environment/mo,"$1,500",$350/mo,"$4,200",$420.00/mo,Enterprise,Revised,Setup fee added for initial network segmentation/config work.
C06-S05,Cloud Configuration & Compliance,Cloud Compliance,Cloud & Infrastructure Security,T1,Per-environment/mo,-,$300/mo,"$3,600",$360.00/mo,Growth / Enterprise,Estimated,Lighter scope than full CSPM.
C07-S01,Application Security (AppSec),App Shield,"Application, API & Web Security",T1,Per-app/mo,-,$300/mo per app,"$3,600",$360.00/mo,Growth / Enterprise,Estimated,General AppSec coverage layer.
C07-S02,Web Application Security,Web Shield,"Application, API & Web Security",T1,Per-app/mo,-,$250/mo per app,"$3,000",$300.00/mo,Growth / Enterprise,Estimated,Web-specific subset of AppSec.
C07-S03,API Security,API Guard,"Application, API & Web Security",T1,Per-API/mo,-,$300/mo per API,"$3,600",$360.00/mo,Growth / Enterprise,Estimated,API-specific protection layer.
C07-S04,Secure Software Development,Code Shield,"Application, API & Web Security",T1,Flat/mo,-,$600/mo,"$7,200",$720.00/mo,Growth / Enterprise,Estimated,SDLC advisory/process service.
C07-S05,Application Security Testing,App Test,"Application, API & Web Security",T1,Per-project + retest,-,"$3,500/app + $1,500 retest",N/A - project/one-time,N/A,À la carte / Enterprise,Market-verified,Anchored to web-app pentest benchmarks ($8K-$25K full manual); lighter AI-assisted scope than C10.
C08-S01,Data Security & Protection,Data Shield,Data Security & Privacy,T1,Per-user/mo,-,$10/user/mo,$120/user/yr,$12.00/user/mo,Growth / Enterprise,Estimated,Core data protection layer.
C08-S02,Data Loss Prevention (DLP),Data Guard,Data Security & Privacy,T1,Per-user/mo,-,$8/user/mo,$96/user/yr,$9.60/user/mo,Growth / Enterprise,Estimated,DLP monitoring/enforcement.
C08-S03,Data Privacy Management,Privacy Guard,Data Security & Privacy,T1,Flat/mo,-,$700/mo,"$8,400",$840.00/mo,Growth / Enterprise,Estimated,Privacy program advisory.
C08-S04,Data Classification & Governance,Data Classifier,Data Security & Privacy,T1,Setup + flat/mo,"$2,500",$400/mo,"$4,800",$480.00/mo,Growth / Enterprise,Revised,"Initial classification project is real, billable work — setup fee added (adopted from GPT draft's pattern)."
C08-S05,Data Security Monitoring,Data Watch,Data Security & Privacy,T1,Per-user/mo,-,$6/user/mo,$72/user/yr,$7.20/user/mo,Enterprise,Estimated,"Ongoing monitoring layer, lighter than full DLP."
C09-S01,AI Security Assessment,AI Check,AI Security & Governance,T1,One-time flat,-,"$4,500",N/A - project/one-time,N/A,Growth / Enterprise,Estimated,Anchored to general risk-assessment pricing; AI-specific premium not yet market-tested.
C09-S02,AI Governance & Risk Management,AI Governance,AI Security & Governance,T1,Flat/mo,-,$900/mo,"$10,800","$1,080.00/mo",Growth / Enterprise,Estimated,Emerging category; priced near vCISO-adjacent advisory tier.
C09-S03,AI Model Security,Model Shield,AI Security & Governance,T1,Per-model/mo,-,$350/mo per model,"$4,200",$420.00/mo,Enterprise,Estimated,Priced per AI model/system in production.
C09-S04,AI Data Security & Privacy,AI Data Guard,AI Security & Governance,T1,Per-user/mo,-,$8/user/mo,$96/user/yr,$9.60/user/mo,Enterprise,Estimated,AI-specific data protection layer.
C09-S05,AI Threat Detection & Protection,AI Threat Guard,AI Security & Governance,T1,Per-environment/mo,-,$400/mo,"$4,800",$480.00/mo,Enterprise,Estimated,AI system-specific threat monitoring.
C10-S01,Penetration Testing,Real-World Test,Penetration Testing & Offensive Security,Spec,Per-engagement,-,"$7,500-$18,000",N/A - project/one-time,N/A,À la carte / Enterprise,Market-verified,"Canadian pentest $5K-$45K+; SMB sweet spot $8K-$20K. Project-based only, never subscription."
C11-S01,AI Readiness Assessment,AI Ready,AI Business Discovery & Transformation,T2,One-time flat,-,"$2,500",N/A - project/one-time,N/A,À la carte / Growth,Market-verified,"AI readiness assessments run ~$2,000-$5,000."
C11-S02,AI Business Process Discovery,Process Finder,AI Business Discovery & Transformation,T2,Per-project,-,"$3,500",N/A - project/one-time,N/A,Growth,Market-verified,"Discovery engagements $2,000-$5,000."
C11-S03,AI Opportunity & Use-Case Strategy,AI Opportunities,AI Business Discovery & Transformation,T2,Per-project,-,"$4,000",N/A - project/one-time,N/A,Growth,Estimated,"Strategy layer above discovery, below full roadmap."
